Province,Longitude,Latitude
Gomel, 52.4345, 30.9754
Mogilev, 53.8947, 30.3304
Vitebsk, 55.1923, 30.2049
Bobruisk, 53.1532, 29.2333
Brest, 52.0976, 23.7341
Baranovichi, 53.1358, 26.0132
Borisov, 54.2333, 28.4833
Pinsk, 52.1254, 26.0946
Orsha, 54.5117, 30.4175
Novopolotsk, 55.5425, 28.6104
Molodechno, 54.3167, 26.8500
Lida, 53.8833, 25.3000
Svetlogorsk, 52.6307, 29.7338
Minsk, 53.9045, 27.5615
